id,PC1,PC2,PC3,mpa,lfm,ww.flam.sample,dw.flam.sample,site,sample.wt,spp,tti,fh,fd,gd,gti,pfg,temp.max,year.month,prop.ignite.bins10_nodate,prop.ignite.bins5_nodate,ttfg,gr
"2016_December_EPI_ADFA_(80,90]_5",-0.6064344547081891,-0.5599626979771817,-1.5573641421993427,-0.6,80.4377565,0.22334192570128888,0.27765807429871114,St. Marys,0.501,ADFA,47,12,13,144,39,92,310.3,2016_December,89,87,8,"(80,90]"
"2016_December_EPI_ADFA_(80,90]_6",0.7655622741823639,0.5053992922409485,4.567004608449045,-0.2,83.47169811,0.23794241053064585,0.28505758946935417,St. Marys,0.523,ADFA,49,10,6,69,3,60,316.8,2016_December,89,87,46,"(80,90]"
"2016_December_EPI_ADFA_(90,100]_1",3.51968208234546,1.0160622589828785,1.0130558100446212,-3.4,94.95268139,0.25229449838187706,0.26570550161812295,St. Marys,0.518,ADFA,18,12,9,57,3,45,316.4,2016_December,95,100,15,"(90,100]"
"2016_December_EPI_ADFA_(90,100]_2",1.3301710498967558,0.6085828361739091,-0.44530118304178146,-2.2,98.24561404,0.25373451327433627,0.25826548672566374,St. Marys,0.512,ADFA,32,12,6,97,23,68,348.5,2016_December,95,86,9,"(90,100]"
"2016_December_EPI_ADFA_(90,100]_2",-0.7349458173712381,2.270112757011081,0.6752944418992507,-4.2,99.69135802,0.25460587326120554,0.25539412673879447,St. Marys,0.51,ADFA,45,4,1,94,28,65,285.3,2016_December,95,86,17,"(90,100]"
"2016_December_EPI_ADFA_(90,100]_4",-1.347265520769062,0.5159294511447449,-0.3327757054805692,-0.5,91.88405797,0.2566646525679759,0.27933534743202415,St. Marys,0.536,ADFA,52,8,7,130,37,86,306.2,2016_December,95,100,15,"(90,100]"
"2016_December_EPI_ADFA_(90,100]_4",-1.314616009307223,-1.4127817848941016,1.5400920031545944,-4.1,93.49522984,0.24642761093679968,0.26357238906320035,St. Marys,0.51,ADFA,47,10,7,148,15,126,284.1,2016_December,95,100,32,"(90,100]"
"2016_December_EPI_ADFA_(90,100]_4",0.23671546990591685,0.6788514561497557,-0.12450603618759289,-4.9,91.99318569,0.24005323868677908,0.2609467613132209,St. Marys,0.501,ADFA,37,10,4,112,21,84,301.9,2016_December,95,100,13,"(90,100]"
"2016_December_EPI_ADFA_(90,100]_5",0.8213247629304565,0.29828953100157996,-0.12063568962858344,-2,91.44634526,0.24121852152721368,0.2637814784727863,St. Marys,0.505,ADFA,30,13,3,111,16,92,301.9,2016_December,95,100,14,"(90,100]"
"2016_December_EPI_ADFA_(90,100]_6",1.203204025237402,-1.2735252403835275,2.69343765868423,-0.4,95.52238806,0.26039694656488555,0.2726030534351145,St. Marys,0.533,ADFA,38,12,12,103,3,88,321.6,2016_December,95,86,35,"(90,100]"
